Title,NSE NAME
20 Microns Ltd.,"NSE: 20MICRONS
                        
                        
                            |
                            BSE: 533022"
Ankit Metal & Power Ltd.,"NSE: ANKITMETAL
                        
                        
                            |
                            BSE: 532870"
APL Apollo Tubes Ltd.,"NSE: APLAPOLLO
                        
                        
                            |
                            BSE: 533758"
Ashapura Minechem Ltd.,"NSE: ASHAPURMIN
                        
                        
                            |
                            BSE: 527001
                        
                        
                        

                        

    |

ASM"
Bedmutha Industries Ltd.,"NSE: BEDMUTHA
                        
                        
                            |
                            BSE: 533270"
Bhagyanagar India Ltd.,"NSE: BHAGYANGR
                        
                        
                            |
                            BSE: 512296"
Century Extrusions Ltd.,"NSE: CENTEXT
                        
                        
                            |
                            BSE: 500083"
Coal India Ltd.,"NSE: COALINDIA
                        
                        
                            |
                            BSE: 533278"
Cubex Tubings Ltd.,"NSE: CUBEXTUB
                        
                        
                            |
                            BSE: 526027"
De Nora India Ltd.,"NSE: DENORA
                        
                        
                            |
                            BSE: 590031"
Electrosteel Castings Ltd.,"NSE: ELECTCAST
                        
                        
                            |
                            BSE: 500128
                        
                        
                        

                        

    |

ASM"
Electrotherm (India) Ltd.,"NSE: ELECTHERM
                        
                        
                            |
                            BSE: 526608"
Shah Metacorp Ltd.,"NSE: SHAH
                        
                        
                            |
                            BSE: 533275
                        
                        
                        

                        

    |

ASM"
Gallantt Ispat Ltd.,"NSE: GALLANTT
                        
                        
                            |
                            BSE: 532726
                        
                        
                        

                        

    |

ASM"
Gandhi Special Tubes Ltd.,"NSE: GANDHITUBE
                        
                        
                            |
                            BSE: 513108"
Gujarat Mineral Development Corporation Ltd.,"NSE: GMDCLTD
                        
                        
                            |
                            BSE: 532181"
Godawari Power & Ispat Ltd.,"NSE: GPIL
                        
                        
                            |
                            BSE: 532734"
Gravita India Ltd.,"NSE: GRAVITA
                        
                        
                            |
                            BSE: 533282"
Hindalco Industries Ltd.,"NSE: HINDALCO
                        
                        
                            |
                            BSE: 500440"
Hindustan Copper Ltd.,"NSE: HINDCOPPER
                        
                        
                            |
                            BSE: 513599"
Hindustan Zinc Ltd.,"NSE: HINDZINC
                        
                        
                            |
                            BSE: 500188
                        
                        
                        

                        

    |

ASM"
Indian Metals & Ferro Alloys Ltd.,"NSE: IMFA
                        
                        
                            |
                            BSE: 533047
                        
                        
                        

                        

    |

ASM"
Impex Ferro Tech Ltd.,"NSE: IMPEXFERRO
                        
                        
                            |
                            BSE: 532614"
ISMT Ltd.,"NSE: ISMTLTD
                        
                        
                            |
                            BSE: 532479"
Jai Balaji Industries Ltd.,"NSE: JAIBALAJI
                        
                        
                            |
                            BSE: 532976
                        
                        
                        

                        

    |

ASM"
Jayaswal Neco Industries Ltd.,"NSE: JAYNECOIND
                        
                        
                            |
                            BSE: 522285"
Jindal Steel & Power Ltd.,"NSE: JINDALSTEL
                        
                        
                            |
                            BSE: 532286"
Jindal Stainless Ltd.,"NSE: JSL
                        
                        
                            |
                            BSE: 532508"
JSW Steel Ltd.,"NSE: JSWSTEEL
                        
                        
                            |
                            BSE: 500228"
Kamdhenu Ltd.,"NSE: KAMDHENU
                        
                        
                            |
                            BSE: 532741"
Kalyani Steels Ltd.,"NSE: KSL
                        
                        
                            |
                            BSE: 500235"
Lakshmi Precision Screws Ltd.,"BSE: 506079
                        
                        
                        

                        
    |

GSM"
Maan Aluminium Ltd.,"NSE: MAANALU
                        
                        
                            |
                            BSE: 532906"
Maharashtra Seamless Ltd.,"NSE: MAHSEAMLES
                        
                        
                            |
                            BSE: 500265"
Maithan Alloys Ltd.,"NSE: MAITHANALL
                        
                        
                            |
                            BSE: 590078"
Manaksia Ltd.,"NSE: MANAKSIA
                        
                        
                            |
                            BSE: 532932"
Man Industries (India) Ltd.,"NSE: MANINDS
                        
                        
                            |
                            BSE: 513269
                        
                        
                        

                        

    |

ASM"
MOIL Ltd.,"NSE: MOIL
                        
                        
                            |
                            BSE: 533286"
MSP Steel & Power Ltd.,"NSE: MSPL
                        
                        
                            |
                            BSE: 532650
                        
                        
                        

                        

    |

ASM"
Mukand Ltd.,"NSE: MUKANDLTD
                        
                        
                            |
                            BSE: 500460"
National Aluminium Company Ltd.,"NSE: NATIONALUM
                        
                        
                            |
                            BSE: 532234"
NMDC Ltd.,"NSE: NMDC
                        
                        
                            |
                            BSE: 526371"
The Orissa Minerals Development Company Ltd.,"NSE: ORISSAMINE
                        
                        
                            |
                            BSE: 590086"
Pennar Industries Ltd.,"NSE: PENIND
                        
                        
                            |
                            BSE: 513228
                        
                        
                        

                        

    |

ASM"
Pondy Oxides & Chemicals Ltd.,BSE: 532626
Prakash Industries Ltd.,"NSE: PRAKASH
                        
                        
                            |
                            BSE: 506022
                        
                        
                        

                        

    |

ASM"
Prakash Steelage Ltd.,"NSE: PRAKASHSTL
                        
                        
                            |
                            BSE: 533239"
Ratnamani Metals & Tubes Ltd.,"NSE: RATNAMANI
                        
                        
                            |
                            BSE: 520111"
Steel Authority of India (SAIL) Ltd.,"NSE: SAIL
                        
                        
                            |
                            BSE: 500113"
SAL Steel Ltd.,"NSE: SALSTEEL
                        
                        
                            |
                            BSE: 532604"
Sarda Energy & Minerals Ltd.,"NSE: SARDAEN
                        
                        
                            |
                            BSE: 504614"
Shah Alloys Ltd.,"NSE: SHAHALLOYS
                        
                        
                            |
                            BSE: 513436"
Vedanta Ltd.,"NSE: VEDL
                        
                        
                            |
                            BSE: 500295"
Sunflag Iron & Steel Company Ltd.,"NSE: SUNFLAG
                        
                        
                            |
                            BSE: 500404"
Surya Roshni Ltd.,"NSE: SURYAROSNI
                        
                        
                            |
                            BSE: 500336"
Tata Steel Ltd.,"NSE: TATASTEEL
                        
                        
                            |
                            BSE: 500470"
Technocraft Industries (India) Ltd.,"NSE: TIIL
                        
                        
                            |
                            BSE: 532804"
Tulsyan NEC Ltd.,BSE: 513629
Usha Martin Ltd.,"NSE: USHAMART
                        
                        
                            |
                            BSE: 517146"
