Title,NSE NAME
Ajmera Realty & Infra India Ltd.,"NSE: AJMERA
                        
                        
                            |
                            BSE: 513349"
Alembic Ltd.,"NSE: ALEMBICLTD
                        
                        
                            |
                            BSE: 506235"
Alpine Housing Development Corporation Ltd.,BSE: 526519
Anant Raj Ltd.,"NSE: ANANTRAJ
                        
                        
                            |
                            BSE: 515055"
Ansal Properties & Infrastructure Ltd.,"NSE: ANSALAPI
                        
                        
                            |
                            BSE: 500013"
Ansal Housing Ltd.,BSE: 507828
Arihant Foundations & Housing Ltd.,BSE: 531381
Ashiana Housing Ltd.,"NSE: ASHIANA
                        
                        
                            |
                            BSE: 523716"
Brigade Enterprises Ltd.,"NSE: BRIGADE
                        
                        
                            |
                            BSE: 532929"
BSEL Algo Ltd.,BSE: 532123
Coromandel Engineering Company Ltd.,"BSE: 533167
                        
                        
                        

                        
    |

GSM"
Country Condo's Ltd.,"NSE: COUNCODOS
                        
                        
                            |
                            BSE: 531624"
Valor Estate Ltd.,"NSE: DBREALTY
                        
                        
                            |
                            BSE: 533160"
DLF Ltd.,"NSE: DLF
                        
                        
                            |
                            BSE: 532868"
Emami Realty Ltd.,"NSE: EMAMIREAL
                        
                        
                            |
                            BSE: 533218
                        
                        
                        

                        

    |

ASM"
Excel Realty N Infra Ltd.,"NSE: EXCEL
                        
                        
                            |
                            BSE: 533090"
Ganesh Housing Corporation Ltd.,"NSE: GANESHHOUC
                        
                        
                            |
                            BSE: 526367"
GeeCee Ventures Ltd.,"NSE: GEECEE
                        
                        
                            |
                            BSE: 532764"
Godrej Properties Ltd.,"NSE: GODREJPROP
                        
                        
                            |
                            BSE: 533150"
Golden Tobacco Ltd.,"NSE: GOLDENTOBC
                        
                        
                            |
                            BSE: 500151
                        
                        
                        

                        
    |

GSM"
Housing Development & Infrastructure Ltd.,"NSE: HDIL
                        
                        
                            |
                            BSE: 532873"
Hubtown Ltd.,"NSE: HUBTOWN
                        
                        
                            |
                            BSE: 532799
                        
                        
                        

                        

    |

ASM"
Indiabulls Real Estate Ltd.,"NSE: IBREALEST
                        
                        
                            |
                            BSE: 532832"
Kolte-Patil Developers Ltd.,"NSE: KOLTEPATIL
                        
                        
                            |
                            BSE: 532924"
Landmark Property Development Company Ltd.,"NSE: LPDC
                        
                        
                            |
                            BSE: 533012"
Mahindra Lifespace Developers Ltd.,"NSE: MAHLIFE
                        
                        
                            |
                            BSE: 532313"
Manjeera Constructions Ltd.,"BSE: 533078
                        
                        
                        

                        
    |

GSM"
MRO-TEK Realty Ltd.,"NSE: MRO-TEK
                        
                        
                            |
                            BSE: 532376"
Techindia Nirman Ltd.,"NSE: TECHIN
                        
                        
                            |
                            BSE: 526576"
Nesco Ltd.,"NSE: NESCO
                        
                        
                            |
                            BSE: 505355"
Satchmo Holdings Ltd.,BSE: 533202
Oberoi Realty Ltd.,"NSE: OBEROIRLTY
                        
                        
                            |
                            BSE: 533273"
Omaxe Ltd.,"NSE: OMAXE
                        
                        
                            |
                            BSE: 532880"
Parsvnath Developers Ltd.,"NSE: PARSVNATH
                        
                        
                            |
                            BSE: 532780"
3P Land Holdings Ltd.,"NSE: 3PLAND
                        
                        
                            |
                            BSE: 516092"
AMJ Land Holdings Ltd.,"NSE: AMJLAND
                        
                        
                            |
                            BSE: 500343"
Peninsula Land Ltd.,"NSE: PENINLAND
                        
                        
                            |
                            BSE: 503031"
Phoenix Mills Ltd.,"NSE: PHOENIXLTD
                        
                        
                            |
                            BSE: 503100"
Prajay Engineers Syndicate Ltd.,"NSE: PRAENG
                        
                        
                            |
                            BSE: 531746"
Prestige Estates Projects Ltd.,"NSE: PRESTIGE
                        
                        
                            |
                            BSE: 533274"
Prozone Realty Ltd.,"NSE: PROZONER
                        
                        
                            |
                            BSE: 534675"
Puravankara Ltd.,"NSE: PURVA
                        
                        
                            |
                            BSE: 532891
                        
                        
                        

                        

    |

ASM"
PVP Ventures Ltd.,"NSE: PVP
                        
                        
                            |
                            BSE: 517556
                        
                        
                        

                        

    |

ASM"
Sam Industries Ltd.,BSE: 532005
Sobha Ltd.,"NSE: SOBHA
                        
                        
                            |
                            BSE: 532784
                        
                        
                        

                        

    |

ASM"
Sunteck Realty Ltd.,"NSE: SUNTECK
                        
                        
                            |
                            BSE: 512179"
Swan Energy Ltd.,"NSE: SWANENERGY
                        
                        
                            |
                            BSE: 503310
                        
                        
                        

                        

    |

ASM"
Texmaco Infrastructure & Holdings Ltd.,"NSE: TEXINFRA
                        
                        
                            |
                            BSE: 505400"
Unitech Ltd.,"NSE: UNITECH
                        
                        
                            |
                            BSE: 507878"
Vipul Ltd.,"NSE: VIPULLTD
                        
                        
                            |
                            BSE: 511726"
Nila Infrastructures Ltd.,"NSE: NILAINFRA
                        
                        
                            |
                            BSE: 530377"
Arvind SmartSpaces Ltd.,"NSE: ARVSMART
                        
                        
                            |
                            BSE: 539301"
FGP Ltd.,"BSE: 500142
                        
                        
                        

                        
    |

GSM"
Nirlon Ltd.,BSE: 500307
UTL Industries Ltd.,"BSE: 500426
                        
                        
                        

                        
    |

GSM"
Citadel Realty & Developers Ltd.,BSE: 502445
Jamshri Realty Ltd.,BSE: 502901
Marathon Nextgen Realty Ltd.,"NSE: MARATHON
                        
                        
                            |
                            BSE: 503101"
Raja Bahadur International Ltd.,BSE: 503127
Simplex Realty Ltd.,BSE: 503229
Victoria Mills Ltd.,BSE: 503349
Modipon Ltd.,BSE: 503776
Swadeshi Polytex Ltd.,"BSE: 503816
                        
                        
                        

                        

    |

ASM"
Elpro International Ltd.,BSE: 504000
Krishna Ventures Ltd.,BSE: 504392
Alfred Herbert (India) Ltd.,BSE: 505216
G G Dandekar Properties Ltd.,BSE: 505250
Tulive Developers Ltd.,BSE: 505285
Skyline Millars Ltd.,BSE: 505650
Arihant Superstructures Ltd.,"NSE: ARIHANTSUP
                        
                        
                            |
                            BSE: 506194"
Joy Realty Ltd.,"BSE: 508929
                        
                        
                        

                        
    |

GSM"
Satra Properties (India) Ltd.,"BSE: 508996
                        
                        
                        

                        
    |

GSM"
Lancor Holdings Ltd.,BSE: 509048
Kamanwala Housing Construction Ltd.,BSE: 511131
Parshwanath Corporation Ltd.,BSE: 511176
Shristi Infrastructure Development Corporation Ltd.,BSE: 511411
Nimbus Projects Ltd.,"BSE: 511714
                        
                        
                        

                        
    |

GSM"
EFC (I) Ltd.,"BSE: 512008
                        
                        
                        

                        

    |

ASM"
Luharuka Media & Infra Ltd.,"BSE: 512048
                        
                        
                        

                        

    |

ASM"
Vishvprabha Ventures Ltd.,"BSE: 512064
                        
                        
                        

                        
    |

GSM"
Virya Resources Ltd.,"BSE: 512479
                        
                        
                        

                        
    |

GSM"
Steel Strips Infrastructures Ltd.,BSE: 513173
S & T Corporation Ltd.,"BSE: 514197
                        
                        
                        

                        

    |

ASM"
Binny Ltd.,BSE: 514215
NEO Infracon Ltd.,BSE: 514332
Dynavision Ltd.,BSE: 517238
ACI Infocom Ltd.,"BSE: 517356
                        
                        
                        

                        
    |

GSM"
Prime Urban Development India Ltd.,"BSE: 521149
                        
                        
                        

                        
    |

GSM
        

|

ASM"
Tatia Global Vennture Ltd.,BSE: 521228
Yogi Infra Projects Ltd.,BSE: 522209
Ansal Buildwell Ltd.,BSE: 523007
Eldeco Housing & Industries Ltd.,"NSE: ELDEHSG
                        
                        
                            |
                            BSE: 523329"
Martin Burn Ltd.,BSE: 523566
